cell_id	Barcode	ChAT	fru	Gad1	SerT	sNPF	tbh	Ple	VGlut	x	y	umap_1	umap_2	clust_label
584	122011221	126030	62210	0	187	1099852	551	0	1366	749.64	1595.6	5.064052	-1.6595638	9
585	122011221	67298	97618	0	92	1040964	457	144	19623	750.2	1642.9	5.6671143	-2.3921854	9
586	2120211020	23995	56	0	238	369333	574	803874	950	746.47	1275.7	-0.20984213	6.558081	11
589	2101212200	26495	145	946	330	235214	20386	0	309705	750.0	846.52	-3.3850186	1.2799231	0
590	122011221	18474	211	0	87	224562	158	0	1666	743.03	1375.4	-2.5117538	5.752467	1
592	122011221	21888	43740	0	799	990096	1196	210	257	750.22	1528.0	3.754045	-1.5815685	13
593	2120212020	165998	13112	249227	315	711309	1258	491	1306	751.56	1001.4	3.6710727	2.3120356	4
597	122212201	103800	308	1046458	1345	367397	2409	253	64871	754.4	945.35	-8.385571	-2.4156651	8
600	2120212020	120952	699	430572	2371	630911	12960	317	25533	759.61	1076.3	2.3951373	2.8529842	-1
604	2101212200	95767	160	551	407	305414	3624	0	428832	763.68	823.61	-3.569391	0.9922464	0
608	202012000	28835	311	0	102	466591	6318	0	171327	765.09	1678.0	-3.088763	2.560811	2
610	122011221	27952	108888	101	191	926888	367	0	4768	763.17	1620.0	5.6822352	-2.435086	9
613	122011221	99009	589	0	212	377783	420	0	0	765.05	1505.4	1.4885889	4.624123	4
615	2120212020	169105	1742	21142	1620	530077	17418	4648	3504	770.74	1047.8	3.0175462	2.2248862	4
622	122212201	34765	2624	1012688	3288	676061	25974	523	412099	774.73	910.08	-7.6749687	-2.5054457	8
624	122011221	62195	47084	28	55	1151661	192	0	2029	776.34	1560.4	4.7582145	-1.7847763	9
627	2120212020	204297	1460	127656	2787	1126587	6228	374	3920	780.35	1003.8	4.3915415	0.33009836	-1
628	1111111101	47438	0	0	0	123852	348	0	0	774.26	41.537	-2.0073917	4.887802	1
629	122011221	32193	51815	0	89	671414	780	177	46	774.29	1533.2	3.2991066	-1.2890116	13
637	2120212020	134651	344	14546	212	416491	917	6256	770	788.36	1078.7	2.663152	4.146978	4
639	202012000	4	139	0	14	327713	19522	0	449163	788.85	1714.4	-3.7615805	0.42915523	0
643	122212201	72089	116	218	1191	152907	1420	0	14264	790.72	811.38	-1.4183539	4.6497273	1
647	122212201	131988	78	277163	750	1789716	899	1414	2614	789.39	968.88	4.736566	-1.6255462	9
648	2120212020	209076	35269	23586	731	508360	4408	0	908	800.18	1030.4	4.3825397	1.8535315	4
650	122011221	30536	9858	0	1900	225413	1368	0	1300	790.58	1518.5	-1.2694702	6.64324	10
656	202011000	26588	34517	0	431	790239	21321	0	68716	799.13	1662.1	2.9855168	-0.48692068	13
